km,bed,stage_fit,A,W_top,W_eq,hma,W_top_5,W_top_10,W_top_20
55.3,870.1,24.8,2977,208,120,1,56,128,160
55.4,856.2,24.9,199,8,8,1,8,8,8
55.5,863.8,24.9,3115,208,125,1,32,40,208
55.6,863.7,24.8,3048,160,123,1,96,128,144
55.7,857.6,24.7,1148,112,46,1,16,16,96
55.8,860.0,24.9,2366,152,95,1,56,88,128
55.9,854.0,24.8,1988,136,80,1,40,72,120
56.0,846.8,24.9,2946,192,118,1,16,16,184
56.1,845.1,24.9,3321,192,133,1,64,120,176
56.2,843.3,25.2,2672,160,106,1,64,96,144
56.3,836.5,26.3,2495,144,95,1,48,64,136
56.4,835.5,27.3,2400,136,88,1,8,8,16
56.5,833.2,27.3,3575,184,131,1,56,120,168
56.6,830.8,27.3,3252,176,119,1,48,56,176
56.7,828.1,27.3,3668,216,134,1,48,64,200
56.8,825.9,27.3,3702,216,136,1,80,96,192
56.9,823.6,27.4,3614,192,132,1,64,80,176
57.0,820.4,27.4,3765,216,137,1,48,112,208
57.1,816.8,27.3,3294,224,121,1,56,72,192
57.2,812.7,27.3,3085,200,113,1,56,72,152
57.3,809.8,27.4,3380,184,123,1,88,104,160
57.4,807.1,27.4,3089,192,113,1,72,96,152
57.5,805.6,27.4,3109,168,113,1,56,72,168
57.6,803.3,27.4,2838,152,104,1,40,104,144
57.7,799.9,29.0,3497,176,121,1,64,88,168
57.8,797.0,29.8,3964,208,133,1,80,112,160
57.9,793.7,30.2,3228,168,107,1,56,88,136
58.0,790.6,30.6,2784,144,91,1,48,56,120
58.1,788.9,29.8,3199,160,107,1,48,88,136
58.2,786.3,29.8,3611,176,121,1,72,120,144
58.3,782.9,29.4,2685,136,91,1,48,64,120
58.4,780.2,29.4,2515,120,86,1,64,72,104
58.5,776.5,29.0,2210,120,76,1,48,64,96
58.6,775.0,29.0,2197,120,76,1,56,64,96
58.7,773.0,29.4,3283,168,112,1,64,104,136
58.8,770.8,31.6,3715,160,118,1,72,120,136
58.9,769.1,32.1,3751,160,117,1,56,120,136
59.0,767.6,32.1,4370,192,136,1,64,128,160
59.1,766.3,33.3,4220,192,127,1,80,112,152
59.2,765.7,34.3,6323,256,184,1,96,168,208
59.3,764.7,34.3,6445,256,188,1,152,168,216
59.4,764.1,34.8,7649,272,220,1,200,216,240
59.5,762.7,35.3,6977,240,198,1,168,184,208
59.6,761.9,35.4,6268,232,177,1,144,160,192
59.7,759.9,35.3,6352,248,180,1,136,168,184
59.8,760.2,34.3,6832,232,199,1,176,192,208
59.9,760.1,31.9,6384,248,200,1,168,192,224
60.0,759.5,31.9,5237,248,164,1,88,128,200
60.1,756.6,30.8,3631,232,118,1,40,72,160
60.2,754.0,34.3,5566,304,162,1,72,112,176
60.3,747.3,34.6,7110,312,205,1,144,168,216
60.4,742.7,34.6,7526,272,218,1,176,192,240
60.5,737.5,35.0,7473,256,214,1,64,208,232
