run,km,model,fit,p10,p90,n_points,inside,scored
"v10 wet near-miss (123 Mm3, 81% water)",107.8,14.88,8.20,4.70,9.90,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.9,14.84,7.40,3.80,9.80,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",108.0,14.81,7.40,2.90,9.80,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",108.1,14.87,7.40,2.90,9.80,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",108.2,14.94,7.40,2.90,9.80,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",108.3,15.01,8.20,2.90,9.90,15,0,0
"v10 wet near-miss (123 Mm3, 81% water)",108.4,15.08,8.20,2.90,9.80,17,0,0
"v10 wet near-miss (123 Mm3, 81% water)",108.5,15.23,7.40,2.90,9.70,18,0,0
"v10 wet near-miss (123 Mm3, 81% water)",108.6,15.38,5.90,2.70,9.70,18,0,0
"v10 wet near-miss (123 Mm3, 81% water)",108.7,15.52,5.20,2.70,9.60,20,0,0
"v10 wet near-miss (123 Mm3, 81% water)",108.8,15.67,5.30,2.80,10.00,21,0,0
"v10 wet near-miss (123 Mm3, 81% water)",108.9,15.91,5.30,2.80,10.00,21,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.0,16.16,5.10,2.70,10.00,20,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.1,16.40,4.70,2.60,9.90,16,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.2,16.64,4.60,2.60,9.80,17,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.3,16.84,4.40,2.60,10.00,15,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.4,17.04,4.70,2.60,9.90,16,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.5,17.25,4.70,2.60,9.90,16,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.6,17.45,4.40,2.60,9.20,14,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.7,17.60,4.40,2.60,9.20,14,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.8,17.74,4.40,2.50,8.30,13,0,0
"v10 wet near-miss (123 Mm3, 81% water)",109.9,17.88,4.40,2.60,11.30,14,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.0,18.03,5.20,3.10,13.40,15,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.1,18.20,6.40,3.80,13.40,15,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.2,18.37,6.90,3.90,13.30,16,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.3,18.54,6.90,3.90,13.30,16,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.4,18.71,6.90,3.90,13.30,16,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.5,18.57,7.10,4.10,13.30,16,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.6,18.43,7.50,4.30,13.60,14,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.7,18.29,7.50,4.30,13.60,14,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.8,18.15,7.80,4.40,14.00,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",110.9,17.96,7.80,4.40,14.00,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.0,17.76,7.80,4.40,14.00,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.1,17.56,8.20,6.00,14.10,9,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.2,17.36,8.20,6.00,14.10,9,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.3,17.06,9.90,6.70,14.10,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.4,16.76,11.10,6.80,14.10,9,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.5,16.46,11.30,7.20,14.10,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.6,16.15,11.30,7.20,14.10,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.7,16.13,11.30,6.60,14.40,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.8,16.11,11.60,6.90,15.20,11,0,0
"v10 wet near-miss (123 Mm3, 81% water)",111.9,16.09,11.60,6.90,15.20,11,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.0,16.07,11.60,6.90,15.20,11,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.1,16.29,11.60,6.40,15.50,9,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.2,16.52,12.10,6.60,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.3,16.74,11.90,6.60,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.4,16.96,11.90,6.60,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.5,17.08,11.90,6.60,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.6,17.20,12.80,9.10,15.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.7,17.32,12.60,5.10,15.50,9,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.8,17.44,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",112.9,17.48,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.0,17.51,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.1,17.55,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.2,17.58,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.3,17.53,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.4,17.49,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.5,17.44,11.90,5.20,15.30,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.6,17.39,11.30,4.30,15.20,11,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.7,17.18,11.30,4.30,15.20,11,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.8,16.96,10.50,4.40,13.30,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",113.9,16.75,10.50,4.40,13.30,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.0,16.53,10.50,4.40,13.30,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.1,16.57,6.90,3.30,11.70,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.2,16.61,7.20,3.40,11.50,9,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.3,16.65,5.30,3.20,9.00,7,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.4,16.69,5.30,3.20,9.00,7,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.5,16.80,5.30,3.20,9.00,7,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.6,16.92,5.40,3.30,8.80,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.7,17.03,5.30,2.20,8.60,10,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.8,17.15,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",114.9,17.22,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.0,17.29,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.1,17.36,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.2,17.43,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.3,17.44,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.4,17.44,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.5,17.45,4.50,2.00,7.60,8,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.6,17.46,4.60,2.20,7.80,6,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.7,17.44,4.60,2.20,7.80,6,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.8,17.42,4.60,2.20,7.80,6,0,0
"v10 wet near-miss (123 Mm3, 81% water)",115.9,17.40,4.60,2.20,7.80,6,0,0
"v10 wet near-miss (123 Mm3, 81% water)",116.0,17.38,4.60,2.20,7.80,6,0,0
"v10 wet near-miss (123 Mm3, 81% water)",154.8,8.43,8.00,7.20,9.40,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",154.9,8.25,8.00,7.20,9.40,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.0,8.07,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.1,7.88,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.2,7.70,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.3,7.54,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.4,7.38,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.5,7.22,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.6,7.06,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.7,7.01,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.8,6.95,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",155.9,6.90,8.00,6.50,9.10,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",156.0,6.85,8.00,6.50,8.00,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",159.6,10.35,9.40,8.70,10.80,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",159.7,10.37,9.50,8.70,11.50,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",159.8,10.39,9.50,8.70,11.50,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",159.9,10.41,9.50,8.70,11.50,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.0,10.43,9.40,8.80,11.50,7,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.1,10.51,9.40,8.90,11.50,9,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.2,10.59,9.40,8.90,11.50,9,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.3,10.68,9.40,8.90,11.50,9,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.4,10.76,9.70,9.10,11.70,9,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.5,10.80,9.70,8.90,11.70,9,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.6,10.84,10.50,8.90,11.90,9,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.7,10.88,10.00,9.00,11.80,10,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.8,10.93,10.00,9.00,11.80,10,1,0
"v10 wet near-miss (123 Mm3, 81% water)",160.9,10.94,10.00,9.00,11.80,10,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.0,10.95,10.00,8.80,12.30,12,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.1,10.96,10.00,8.80,12.30,12,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.2,10.97,11.00,8.90,12.60,12,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.3,10.98,11.00,8.90,12.60,12,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.4,10.99,11.00,8.90,12.60,12,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.5,11.00,10.50,8.70,12.60,13,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.6,11.01,10.50,8.70,12.80,13,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.7,11.01,10.50,8.70,12.80,13,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.8,11.02,10.50,8.70,12.80,13,1,0
"v10 wet near-miss (123 Mm3, 81% water)",161.9,11.03,10.50,8.70,12.80,13,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.0,11.03,10.50,8.70,12.80,13,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.1,11.02,11.50,8.50,12.90,10,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.2,11.00,11.50,8.50,12.90,10,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.3,10.99,11.50,8.50,12.90,10,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.4,10.97,11.50,8.50,12.90,10,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.5,10.94,11.30,8.40,13.00,9,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.6,10.90,11.30,8.40,13.20,7,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.7,10.87,12.00,8.20,13.40,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.8,10.83,12.00,8.20,13.40,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",162.9,10.72,12.00,8.20,13.40,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",163.0,10.62,12.00,8.20,13.40,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",163.1,10.51,12.80,9.10,14.30,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",163.3,10.23,11.30,7.70,14.30,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",163.4,10.05,11.30,7.70,14.30,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",163.5,9.87,12.60,7.70,30.60,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",165.0,8.95,13.70,9.10,33.80,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",166.3,6.81,12.60,11.30,16.50,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",166.4,6.58,12.60,11.30,16.50,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",166.5,6.56,12.60,11.30,16.50,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",166.6,6.54,12.60,11.30,16.50,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",166.7,6.52,12.60,11.30,16.50,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",166.8,6.50,12.60,11.30,16.50,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",166.9,6.61,12.60,11.30,16.50,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",173.6,10.93,15.50,12.30,25.10,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",173.7,10.90,14.50,10.60,24.50,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",173.8,10.87,14.50,10.60,24.50,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",173.9,10.84,14.50,10.60,24.50,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",174.0,10.81,14.50,10.60,24.50,6,1,0
"v10 wet near-miss (123 Mm3, 81% water)",174.1,10.78,13.50,10.40,25.10,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",174.2,10.74,13.50,10.40,25.10,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",174.3,10.71,13.50,10.40,25.10,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",174.4,10.68,13.50,10.40,25.10,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",174.5,10.63,13.50,10.40,25.10,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",174.6,10.58,13.50,10.40,25.10,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",177.7,9.41,11.20,9.40,11.70,5,1,0
"v10 wet near-miss (123 Mm3, 81% water)",177.8,9.37,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",177.9,9.32,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.0,9.27,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.1,9.23,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.2,9.20,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.3,9.16,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.4,9.12,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.5,9.09,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.6,9.06,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.7,9.02,11.20,9.40,11.70,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.8,8.99,11.40,9.60,12.40,6,0,0
"v10 wet near-miss (123 Mm3, 81% water)",178.9,8.95,11.40,9.60,12.40,6,0,0
"v10 wet near-miss (123 Mm3, 81% water)",179.0,8.90,11.20,9.40,12.40,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",179.1,8.86,11.20,9.40,12.40,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",179.2,8.82,11.20,9.40,12.40,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",179.3,8.76,11.20,9.40,12.40,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",179.4,8.70,11.20,9.40,12.40,5,0,0
"v10 wet near-miss (123 Mm3, 81% water)",179.5,8.64,10.50,8.00,12.40,5,1,0
