run,km,model,fit,p10,p90,n_points,inside,scored
"v10 wet near-miss (123 Mm3, 81% water)",62.2,18.63,24.60,12.30,40.90,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.3,18.44,24.60,12.20,39.70,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.4,18.26,25.40,12.50,38.90,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.5,18.12,26.10,12.50,38.80,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.6,17.97,26.10,12.50,38.30,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.7,17.83,26.10,11.50,38.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.8,17.69,25.40,11.50,38.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.9,17.56,25.00,11.70,38.70,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.0,17.44,25.00,12.00,38.90,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.1,17.31,24.60,11.90,38.90,37,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.2,17.18,25.00,11.70,38.70,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.3,17.13,24.30,11.70,38.70,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.4,17.08,24.10,11.70,38.70,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.5,17.03,24.10,11.70,38.70,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.6,16.98,24.60,11.50,38.80,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.7,16.97,28.40,11.60,38.80,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.8,16.96,28.50,15.50,38.80,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",63.9,16.95,28.50,15.60,38.80,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",64.0,16.93,28.50,15.80,38.80,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",64.1,17.00,28.90,17.60,38.90,31,0,1
"v10 wet near-miss (123 Mm3, 81% water)",64.2,17.07,28.90,17.60,38.90,31,0,1
"v10 wet near-miss (123 Mm3, 81% water)",64.3,17.14,28.60,17.60,38.60,31,0,1
"v10 wet near-miss (123 Mm3, 81% water)",64.4,17.22,28.60,16.60,37.70,27,1,1
"v10 wet near-miss (123 Mm3, 81% water)",64.5,17.23,28.60,16.60,37.70,27,1,1
"v10 wet near-miss (123 Mm3, 81% water)",64.6,17.25,25.10,16.10,37.20,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",64.7,17.27,24.40,16.60,36.50,27,1,1
"v10 wet near-miss (123 Mm3, 81% water)",64.8,17.29,24.70,17.70,38.70,26,0,1
"v10 wet near-miss (123 Mm3, 81% water)",64.9,17.28,27.00,18.80,37.60,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.0,17.27,28.10,19.60,39.50,26,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.1,17.26,28.60,19.60,38.50,25,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.2,17.25,28.90,20.50,39.40,27,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.3,17.20,28.90,21.00,40.70,28,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.4,17.15,29.00,23.20,40.70,28,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.5,17.10,29.00,23.20,40.70,28,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.6,17.05,29.00,22.60,40.60,29,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.7,16.94,29.00,22.70,40.50,31,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.8,16.83,29.00,22.40,40.50,31,0,1
"v10 wet near-miss (123 Mm3, 81% water)",65.9,16.73,29.00,22.40,41.20,31,0,1
