dist_km,lat,lon
126.800,27.815659,84.822522
127.200,27.812108,84.821954
127.600,27.808735,84.822683
128.000,27.807680,84.818980
128.400,27.810349,84.816816
128.800,27.813610,84.815619
129.200,27.814619,84.811740
129.600,27.817296,84.809275
130.000,27.817109,84.805458
130.400,27.815453,84.801919
130.800,27.814519,84.798262
131.200,27.813361,84.794438
131.600,27.812899,84.790575
132.000,27.814701,84.787452
132.400,27.814003,84.783462
132.800,27.812835,84.779624
133.200,27.810295,84.776782
133.600,27.808696,84.773481
134.000,27.810510,84.769991
134.400,27.813541,84.769093
134.800,27.816467,84.768130
135.200,27.818526,84.764820
135.600,27.817552,84.761120
136.000,27.815185,84.758088
136.400,27.811981,84.756862
136.800,27.808580,84.756014
137.200,27.806128,84.753046
137.600,27.805367,84.749354
138.000,27.804980,84.745767
138.400,27.804422,84.741918
138.800,27.803745,84.738114
139.200,27.800408,84.737212
139.600,27.798095,84.734925
140.000,27.795772,84.731959
140.400,27.797324,84.728952
140.800,27.800295,84.727030
141.200,27.801118,84.723103
141.600,27.802984,84.719874
142.000,27.802598,84.716981
142.400,27.800681,84.713589
142.800,27.801133,84.709695
143.200,27.804063,84.708135
143.600,27.807162,84.707189
144.000,27.807403,84.703140
144.400,27.808106,84.699157
144.800,27.809017,84.695223
145.200,27.809660,84.691232
145.600,27.810448,84.687284
146.000,27.811191,84.683417
146.400,27.813488,84.680299
146.800,27.815616,84.677060
147.200,27.816654,84.673178
147.600,27.817731,84.669328
148.000,27.820392,84.667222
148.400,27.823736,84.666878
148.800,27.826450,84.664349
149.200,27.828800,84.661326
149.600,27.832308,84.661593
150.000,27.835601,84.663183
150.400,27.839155,84.663697
150.800,27.842450,84.663047
151.200,27.845801,84.661581
151.600,27.849239,84.660422
152.000,27.851711,84.657591
152.400,27.852414,84.653646
152.800,27.852758,84.649608
153.200,27.854704,84.646799
153.600,27.857573,84.649193
154.000,27.859873,84.647909
154.400,27.860272,84.644080
154.800,27.859839,84.640207
155.200,27.860216,84.636228
155.600,27.862824,84.633974
156.000,27.866398,84.633513
156.400,27.869573,84.632432
156.800,27.870931,84.628747
157.200,27.873942,84.626979
157.600,27.877392,84.627387
158.000,27.879767,84.624548
158.400,27.880820,84.620700
158.800,27.879261,84.617476
159.200,27.876711,84.614676
159.600,27.873283,84.613925
160.000,27.872084,84.610244
160.400,27.871626,84.606260
160.800,27.874286,84.603865
161.200,27.876252,84.600939
161.600,27.876125,84.596918
162.000,27.877881,84.593470
162.400,27.880006,84.590345
162.800,27.878275,84.586933
163.200,27.875968,84.583847
163.600,27.874160,84.580336
164.000,27.871695,84.577421
164.400,27.868240,84.576883
164.800,27.864777,84.577323
165.200,27.862347,84.574381
165.600,27.860325,84.571110
166.000,27.858907,84.567372
166.400,27.858258,84.563395
166.800,27.857894,84.559386
167.200,27.855282,84.557406
167.600,27.851725,84.556914
168.000,27.848307,84.558151
168.400,27.844735,84.558126
168.800,27.841248,84.557142
169.200,27.837707,84.556465
169.600,27.835219,84.553667
170.000,27.833123,84.550362
170.400,27.831857,84.546615
170.800,27.832665,84.542725
171.200,27.833789,84.538915
171.600,27.833230,84.534958
172.000,27.833487,84.530934
172.400,27.833714,84.526896
172.800,27.832888,84.522946
173.200,27.830415,84.520372
173.600,27.826828,84.520295
174.000,27.823250,84.520559
174.400,27.819753,84.519704
174.800,27.816647,84.517761
175.200,27.815622,84.513891
175.600,27.816112,84.509935
176.000,27.817807,84.506364
176.400,27.819706,84.502948
176.800,27.820256,84.498946
177.200,27.820473,84.495192
177.600,27.819589,84.491641
178.000,27.820854,84.488112
178.400,27.821307,84.484102
178.800,27.821803,84.480117
179.200,27.823261,84.476413
179.600,27.823927,84.472428
180.000,27.824280,84.468420
180.400,27.823242,84.465668
180.800,27.819821,84.466108
181.200,27.819474,84.462748
181.600,27.819596,84.458684
182.000,27.820352,84.454724
182.400,27.821724,84.450978
182.800,27.823253,84.447307
183.200,27.821943,84.443850
183.600,27.818960,84.441680
184.000,27.816117,84.439595
184.400,27.815523,84.435692
184.800,27.813259,84.432615
185.200,27.809715,84.431938
185.600,27.806169,84.431287
186.000,27.802583,84.430979
186.400,27.799013,84.431167
186.800,27.795463,84.430562
187.200,27.791976,84.430003
187.600,27.788466,84.430689
188.000,27.785293,84.432603
188.400,27.782405,84.435009
188.800,27.779652,84.437626
189.200,27.778334,84.441032
189.600,27.778606,84.445083
190.000,27.778412,84.449141
190.400,27.777442,84.453047
190.800,27.775964,84.456754
191.200,27.774179,84.460280
191.600,27.771358,84.462668
192.000,27.769053,84.465750
192.400,27.765937,84.467730
192.800,27.762852,84.469800
193.200,27.759468,84.471109
193.600,27.755944,84.471919
194.000,27.752423,84.472142
194.400,27.751982,84.468569
194.800,27.752983,84.464682
195.200,27.755241,84.461571
195.600,27.758049,84.459127
196.000,27.759702,84.455824
196.400,27.759540,84.451776
196.800,27.757921,84.448214
197.200,27.754761,84.446325
197.600,27.751867,84.443950
198.000,27.748891,84.441693
198.400,27.745655,84.439919
198.800,27.742884,84.437444
199.200,27.741424,84.433750
