dist_km,lat,lon,elev_m
167.600,27.851725,84.556914,238.0
168.000,27.848307,84.558151,235.0
168.400,27.844735,84.558126,271.0
168.800,27.841248,84.557142,265.0
169.200,27.837707,84.556465,220.0
169.600,27.835219,84.553667,241.0
170.000,27.833123,84.550362,218.0
170.400,27.831857,84.546615,231.0
170.800,27.832665,84.542725,233.0
171.200,27.833789,84.538915,232.0
171.600,27.833230,84.534958,228.0
172.000,27.833487,84.530934,237.0
172.400,27.833714,84.526896,233.0
172.800,27.832888,84.522946,224.0
173.200,27.830415,84.520372,236.0
173.600,27.826828,84.520295,217.0
174.000,27.823250,84.520559,224.0
174.400,27.819753,84.519704,249.0
174.800,27.816647,84.517761,228.0
175.200,27.815622,84.513891,222.0
175.600,27.816112,84.509935,229.0
176.000,27.817807,84.506364,218.0
176.400,27.819706,84.502948,222.0
176.800,27.820256,84.498946,221.0
177.200,27.820473,84.495192,223.0
177.600,27.819589,84.491641,232.0
178.000,27.820854,84.488112,219.0
178.400,27.821307,84.484102,218.0
178.800,27.821803,84.480117,216.0
179.200,27.823261,84.476413,229.0
179.600,27.823927,84.472428,225.0
180.000,27.824280,84.468420,233.0
180.400,27.823242,84.465668,219.0
180.800,27.819821,84.466108,221.0
181.200,27.819474,84.462748,216.0
181.600,27.819596,84.458684,222.0
182.000,27.820352,84.454724,210.0
182.400,27.821724,84.450978,212.0
182.800,27.823253,84.447307,217.0
183.200,27.821943,84.443850,214.0
183.600,27.818960,84.441680,208.0
184.000,27.816117,84.439595,203.0
184.400,27.815523,84.435692,220.0
184.800,27.813259,84.432615,208.0
185.200,27.809715,84.431938,211.0
185.600,27.806169,84.431287,218.0
186.000,27.802583,84.430979,203.0
186.400,27.799013,84.431167,213.0
186.800,27.795463,84.430562,212.0
187.200,27.791976,84.430003,205.0
187.600,27.788466,84.430689,194.0
188.000,27.785293,84.432603,208.0
188.400,27.782405,84.435009,205.0
188.800,27.779652,84.437626,218.0
189.200,27.778334,84.441032,208.0
189.600,27.778606,84.445083,205.0
190.000,27.778412,84.449141,209.0
190.400,27.777442,84.453047,206.0
190.800,27.775964,84.456754,203.0
191.200,27.774179,84.460280,201.0
191.600,27.771358,84.462668,198.0
192.000,27.769053,84.465750,208.0
192.400,27.765937,84.467730,196.0
192.800,27.762852,84.469800,196.0
193.200,27.759468,84.471109,201.0
193.600,27.755944,84.471919,207.0
194.000,27.752423,84.472142,193.0
194.400,27.751982,84.468569,193.0
194.800,27.752983,84.464682,192.0
195.200,27.755241,84.461571,193.0
195.600,27.758049,84.459127,191.0
196.000,27.759702,84.455824,200.0
196.400,27.759540,84.451776,191.0
196.800,27.757921,84.448214,196.0
197.200,27.754761,84.446325,195.0
197.600,27.751867,84.443950,187.0
198.000,27.748891,84.441693,196.0
198.400,27.745655,84.439919,190.0
198.800,27.742884,84.437444,196.0
199.200,27.741424,84.433750,186.0
